code,name,prefecture,population,latitude,longitude
01100,札幌市,北海道,1973395,43.061936,141.354292
01202,函館市,北海道,251084,41.768793,140.729008
02201,青森市,青森県,275192,40.822386,140.747259
03201,盛岡市,岩手県,289731,39.703619,141.152684
04100,仙台市,宮城県,1096704,38.268215,140.869356
05201,秋田市,秋田県,304012,39.720260,140.102550
06201,山形市,山形県,247590,38.240436,140.363634
07201,福島市,福島県,282693,37.760713,140.473539
08201,水戸市,茨城県,270685,36.365713,140.471389
09201,宇都宮市,栃木県,518757,36.555110,139.882846
10201,前橋市,群馬県,332149,36.389490,139.063457
11100,さいたま市,埼玉県,1324025,35.861392,139.645638
12100,千葉市,千葉県,975855,35.607337,140.106396
13101,千代田区,東京都,66680,35.693840,139.753595
13103,港区,東京都,260486,35.658068,139.751599
13104,新宿区,東京都,349385,35.693763,139.703632
13113,渋谷区,東京都,243883,35.664515,139.698912
14100,横浜市,神奈川県,3777491,35.444168,139.638033
14130,川崎市,神奈川県,1538262,35.530887,139.703056
15100,新潟市,新潟県,789275,37.916191,139.036413
16201,富山市,富山県,413938,36.695273,137.211328
17201,金沢市,石川県,463254,36.561499,136.656205
18201,福井市,福井県,262328,36.064179,136.219696
19201,甲府市,山梨県,189591,35.662090,138.568381
20201,長野市,長野県,372760,36.648562,138.194855
21201,岐阜市,岐阜県,406735,35.423298,136.760649
22100,静岡市,静岡県,693389,34.975616,138.382782
23100,名古屋市,愛知県,2332176,35.181446,136.906398
24201,津市,三重県,274537,34.718739,136.505727
25201,大津市,滋賀県,345070,35.004538,135.868593
26100,京都市,京都府,1463723,35.011564,135.768149
27100,大阪市,大阪府,2752412,34.693738,135.502165
28100,神戸市,兵庫県,1525152,34.690083,135.195510
29201,奈良市,奈良県,354630,34.685333,135.804852
30201,和歌山市,和歌山県,356729,34.230410,135.170752
31201,鳥取市,鳥取県,188465,35.503700,134.237451
32201,松江市,島根県,203616,35.472224,133.050530
33100,岡山市,岡山県,724691,34.655220,133.919502
34100,広島市,広島県,1200754,34.385204,132.455293
35203,下関市,山口県,268517,33.957862,130.941325
36201,徳島市,徳島県,258602,34.070129,134.554800
37201,高松市,香川県,417496,34.340149,134.043444
38201,松山市,愛媛県,511192,33.839157,132.765575
39201,高知市,高知県,325415,33.559705,133.531080
40130,北九州市,福岡県,939029,33.883417,130.875398
40133,福岡市,福岡県,1612392,33.590355,130.401716
41201,佐賀市,佐賀県,233301,33.263340,130.300827
42201,長崎市,長崎県,409118,32.750286,129.877667
43100,熊本市,熊本県,738865,32.803149,130.707891
44201,大分市,大分県,478146,33.238173,131.612617
45201,宮崎市,宮崎県,401138,31.907651,131.420233
46201,鹿児島市,鹿児島県,593128,31.596554,130.557116
47201,那覇市,沖縄県,317405,26.212401,127.680932
