code,career_sustainability,elderly_work_opportunity,life_cost_efficiency,social_connectedness,climate_comfort,migrant_openness
01100,62.4,57.8,43.7,62.5,80.5,76.8
01202,27.8,75.7,66.0,77.7,79.5,48.4
02201,37.1,74.6,72.8,79.0,81.4,49.9
03201,38.3,76.2,57.2,96.0,89.4,48.3
04100,36.9,76.4,61.5,71.7,88.8,58.9
05201,27.3,73.1,68.9,88.1,91.0,43.9
06201,33.6,82.9,64.5,78.1,85.3,49.3
07201,31.9,69.3,59.0,88.8,83.2,47.3
08201,33.2,76.1,68.2,85.7,87.2,60.3
09201,33.0,75.9,61.9,80.4,89.3,60.5
10201,38.7,80.1,68.5,82.6,89.2,50.9
11100,54.2,70.0,56.6,70.9,83.5,57.4
12100,45.0,74.2,69.8,80.3,89.7,50.6
13101,35.6,78.3,68.6,82.3,90.3,52.1
13103,35.5,75.6,61.8,76.1,101.8,49.2
13104,30.3,81.2,68.0,75.0,98.6,51.7
13113,34.7,77.1,69.4,84.6,84.9,36.9
14100,85.2,33.6,38.2,64.5,88.0,100.6
14130,58.2,58.5,59.1,74.1,82.0,67.6
15100,41.4,67.6,64.4,78.4,83.5,48.1
16201,34.7,78.7,75.0,83.9,89.5,46.8
17201,33.0,76.4,58.6,89.6,94.2,51.9
18201,39.3,81.3,64.1,84.7,85.1,48.0
19201,31.2,76.5,63.1,81.5,85.9,44.9
20201,32.8,77.5,64.4,89.2,77.3,48.5
21201,33.7,79.5,58.1,84.8,88.7,48.1
22100,42.8,71.7,67.1,89.1,84.7,54.4
23100,68.5,57.9,44.2,67.8,87.1,84.4
24201,35.4,74.4,58.9,76.0,86.0,32.4
25201,36.7,75.2,60.9,74.5,89.5,47.3
26100,63.3,63.0,56.8,83.6,81.2,64.9
27100,71.4,45.1,46.1,73.6,83.0,83.0
28100,51.0,66.7,66.3,72.1,101.0,62.4
29201,30.6,74.5,84.4,80.4,83.9,38.3
30201,37.8,76.9,69.4,91.4,85.4,50.9
31201,37.6,81.1,62.8,77.4,98.6,57.0
32201,31.6,80.8,55.7,78.5,104.0,37.6
33100,36.4,76.2,64.5,83.5,84.6,59.0
34100,44.2,67.3,52.9,73.5,88.9,58.3
35203,36.5,75.7,65.3,83.3,93.0,47.4
36201,36.8,77.5,64.3,82.5,99.8,41.3
37201,38.4,67.8,65.4,84.2,85.9,47.7
38201,33.9,68.0,71.6,89.9,90.2,58.8
39201,35.3,70.6,68.2,83.5,95.6,52.0
40130,44.7,65.6,59.6,81.8,93.5,67.1
40133,56.1,65.3,47.1,60.2,89.8,72.9
41201,37.1,73.7,58.2,83.4,91.4,49.9
42201,36.7,74.4,63.4,77.2,85.8,60.1
43100,44.3,79.3,62.4,72.3,91.4,56.7
44201,37.0,73.8,76.2,76.4,90.8,55.5
45201,36.9,80.1,67.2,80.3,94.9,47.7
46201,41.7,69.7,70.2,86.2,91.3,52.5
47201,26.8,76.3,64.3,75.0,102.9,44.2
